Id de empleado,Fecha y hora de interacción,Id del caso,Tipo de interacci�n,Id de cliente,Cola,Tipo de cliente,Duraci�n
EMP0002,2/3/2025 03:34,CASE000075,teléfono,CL56566,post-venta,vendedor,777
EMP0257,1/13/2025 13:05,CASE000076,teléfono,CL37460,reclamos,comprador,782
EMP0264,3/5/2025 00:41,CASE000077,teléfono,CL97841,post-venta,vendedor,644
EMP0069,3/16/2025 17:55,CASE000078,teléfono,CL44993,reclamos,vendedor,579
EMP0194,1/23/2025 10:28,CASE000079,teléfono,CL99593,reclamos,vendedor,617
EMP0246,3/16/2025 11:26,CASE000080,teléfono,CL94939,reclamos,vendedor,662
EMP0116,3/20/2025 03:57,CASE000081,chat,CL19358,pre-venta,comprador,662
EMP0117,3/26/2025 02:33,CASE000082,chat,CL89840,reclamos,vendedor,756
EMP0125,1/17/2025 13:44,CASE000083,chat,CL93227,post-venta,vendedor,853
EMP0033,3/22/2025 21:20,CASE000084,chat,CL32431,post-venta,comprador,575
EMP0092,3/26/2025 07:46,CASE000085,teléfono,CL80010,pre-venta,comprador,858
EMP0251,2/2/2025 07:48,CASE000086,chat,CL42087,post-venta,vendedor,740
EMP0192,2/3/2025 03:00,CASE000087,teléfono,CL31417,reclamos,vendedor,587
EMP0023,1/28/2025 18:49,CASE000088,chat,CL70589,reclamos,comprador,779
EMP0082,2/19/2025 05:01,CASE000089,teléfono,CL59735,post-venta,comprador,802
EMP0203,2/25/2025 00:09,CASE000090,teléfono,CL45382,post-venta,comprador,544
EMP0043,3/8/2025 04:34,CASE000091,teléfono,CL93886,post-venta,comprador,807
EMP0107,1/6/2025 05:20,CASE000092,teléfono,CL83000,pre-venta,vendedor,729
EMP0074,2/5/2025 16:17,CASE000093,teléfono,CL38785,post-venta,comprador,884
EMP0201,3/8/2025 18:29,CASE000094,chat,CL99733,pre-venta,vendedor,549
EMP0077,2/13/2025 10:18,CASE000095,teléfono,CL52504,reclamos,comprador,557
EMP0019,3/13/2025 17:25,CASE000096,chat,CL17331,reclamos,vendedor,356
EMP0133,3/12/2025 01:46,CASE000097,teléfono,CL40021,reclamos,comprador,668
EMP0183,2/12/2025 10:12,CASE000098,chat,CL14207,post-venta,comprador,645
EMP0062,2/17/2025 17:04,CASE000099,teléfono,CL51347,post-venta,comprador,532
EMP0133,1/24/2025 17:19,CASE000100,teléfono,CL62581,reclamos,comprador,590
EMP0121,3/21/2025 23:18,CASE000101,teléfono,CL45093,reclamos,vendedor,442
EMP0135,2/5/2025 08:54,CASE000102,chat,CL18675,reclamos,comprador,743
EMP0255,2/22/2025 22:23,CASE000103,teléfono,CL37653,reclamos,comprador,541
EMP0033,1/16/2025 02:17,CASE000104,teléfono,CL84341,pre-venta,vendedor,971
EMP0006,1/4/2025 15:05,CASE000105,chat,CL51245,reclamos,vendedor,578
EMP0082,3/30/2025 17:02,CASE000106,teléfono,CL37869,reclamos,comprador,508
EMP0134,2/17/2025 03:49,CASE000107,teléfono,CL95909,reclamos,comprador,550
EMP0051,2/3/2025 02:53,CASE000108,teléfono,CL75435,pre-venta,vendedor,430
EMP0222,3/22/2025 18:37,CASE000109,chat,CL61856,reclamos,comprador,657
EMP0268,3/2/2025 06:00,CASE000110,teléfono,CL94259,post-venta,vendedor,549
EMP0203,3/5/2025 08:32,CASE000111,teléfono,CL70142,pre-venta,vendedor,735
EMP0122,2/6/2025 03:01,CASE000112,teléfono,CL28726,reclamos,comprador,567
EMP0132,2/19/2025 17:40,CASE000113,chat,CL44718,post-venta,comprador,766
EMP0257,3/12/2025 05:40,CASE000114,teléfono,CL28301,post-venta,comprador,690
EMP0052,2/19/2025 06:24,CASE000115,chat,CL42325,reclamos,vendedor,603
EMP0255,1/4/2025 02:36,CASE000116,chat,CL83579,post-venta,vendedor,789
EMP0230,1/20/2025 05:56,CASE000117,teléfono,CL80644,post-venta,vendedor,714
EMP0270,2/4/2025 06:30,CASE000118,chat,CL44438,post-venta,vendedor,953
EMP0105,1/2/2025 17:43,CASE000119,chat,CL86622,pre-venta,vendedor,550
EMP0159,3/7/2025 07:10,CASE000120,teléfono,CL66155,post-venta,comprador,609
EMP0169,3/16/2025 02:48,CASE000121,teléfono,CL86484,post-venta,comprador,788
EMP0135,1/15/2025 05:42,CASE000122,chat,CL62350,pre-venta,comprador,414
EMP0061,1/27/2025 06:57,CASE000123,teléfono,CL57447,reclamos,comprador,758
EMP0271,1/24/2025 16:13,CASE000124,chat,CL38746,reclamos,vendedor,652
EMP0106,3/26/2025 23:41,CASE000125,teléfono,CL28131,post-venta,comprador,493
EMP0265,2/7/2025 22:38,CASE000126,chat,CL76784,pre-venta,comprador,436
EMP0105,3/26/2025 19:53,CASE000127,teléfono,CL74686,reclamos,vendedor,519
EMP0088,3/11/2025 07:40,CASE000128,chat,CL21915,reclamos,vendedor,325
EMP0007,3/24/2025 13:17,CASE000129,teléfono,CL16175,pre-venta,comprador,541
EMP0024,3/10/2025 02:34,CASE000130,teléfono,CL24371,reclamos,comprador,674
EMP0057,1/26/2025 21:42,CASE000131,chat,CL30033,pre-venta,vendedor,542
EMP0215,3/24/2025 03:41,CASE000132,chat,CL92240,post-venta,comprador,766
EMP0025,1/19/2025 00:17,CASE000133,chat,CL30969,reclamos,comprador,799
EMP0054,3/18/2025 10:37,CASE000134,teléfono,CL99192,pre-venta,vendedor,753
EMP0086,1/14/2025 08:07,CASE000135,chat,CL65333,post-venta,vendedor,627
EMP0290,1/26/2025 14:00,CASE000136,teléfono,CL88172,pre-venta,comprador,321
EMP0257,2/11/2025 05:02,CASE000137,chat,CL18326,post-venta,comprador,515
EMP0251,1/24/2025 08:36,CASE000138,teléfono,CL60432,post-venta,vendedor,582
EMP0037,2/17/2025 07:59,CASE000139,teléfono,CL60019,reclamos,comprador,492
EMP0286,2/20/2025 23:12,CASE000140,chat,CL88104,post-venta,comprador,583
EMP0114,3/18/2025 09:26,CASE000141,teléfono,CL71348,reclamos,vendedor,793
EMP0243,2/8/2025 13:09,CASE000142,teléfono,CL79352,pre-venta,comprador,402
EMP0188,3/14/2025 17:49,CASE000143,chat,CL42953,post-venta,comprador,817
EMP0130,1/15/2025 01:07,CASE000144,teléfono,CL82512,pre-venta,vendedor,706
EMP0215,1/18/2025 21:03,CASE000145,teléfono,CL11504,reclamos,comprador,632
EMP0024,2/28/2025 15:41,CASE000146,teléfono,CL99166,reclamos,vendedor,514
EMP0249,3/4/2025 02:52,CASE000147,teléfono,CL25014,pre-venta,vendedor,495
EMP0227,3/12/2025 15:48,CASE000148,teléfono,CL99353,pre-venta,vendedor,404
EMP0200,1/26/2025 21:28,CASE000149,chat,CL80381,pre-venta,vendedor,806
EMP0146,3/27/2025 00:14,CASE000150,teléfono,CL44973,reclamos,vendedor,784
EMP0276,3/9/2025 15:21,CASE000151,teléfono,CL94012,post-venta,comprador,431
EMP0008,3/18/2025 22:45,CASE000152,chat,CL54587,post-venta,comprador,533
EMP0056,2/17/2025 14:49,CASE000153,teléfono,CL24621,post-venta,comprador,651
EMP0061,2/19/2025 02:33,CASE000154,teléfono,CL48469,reclamos,vendedor,564
EMP0039,1/28/2025 04:44,CASE000155,chat,CL66985,reclamos,vendedor,369
EMP0274,1/7/2025 22:57,CASE000156,chat,CL30730,pre-venta,comprador,521
EMP0097,2/26/2025 20:16,CASE000157,teléfono,CL69470,reclamos,vendedor,834
EMP0146,2/3/2025 10:45,CASE000158,teléfono,CL10425,post-venta,comprador,529
EMP0098,3/23/2025 16:16,CASE000159,teléfono,CL44522,post-venta,comprador,580
EMP0255,1/14/2025 11:51,CASE000160,teléfono,CL75612,post-venta,comprador,462
EMP0211,2/15/2025 17:03,CASE000161,chat,CL33416,post-venta,comprador,670
EMP0042,3/19/2025 21:36,CASE000162,chat,CL76542,post-venta,comprador,613
EMP0053,3/10/2025 18:07,CASE000163,teléfono,CL23947,post-venta,vendedor,510
EMP0033,1/17/2025 17:41,CASE000164,chat,CL91959,post-venta,comprador,443
EMP0277,3/22/2025 18:09,CASE000165,teléfono,CL49117,pre-venta,vendedor,768
EMP0142,3/12/2025 08:50,CASE000166,teléfono,CL93748,pre-venta,vendedor,407
EMP0289,1/23/2025 04:52,CASE000167,teléfono,CL76540,reclamos,comprador,660
EMP0130,1/3/2025 11:46,CASE000168,teléfono,CL89818,reclamos,vendedor,341
EMP0296,1/7/2025 08:08,CASE000169,chat,CL36071,reclamos,vendedor,684
EMP0050,1/10/2025 04:03,CASE000170,teléfono,CL30032,post-venta,vendedor,716
EMP0063,3/6/2025 15:24,CASE000171,chat,CL59009,reclamos,vendedor,731
EMP0110,2/27/2025 02:44,CASE000172,chat,CL31174,reclamos,comprador,580
EMP0178,1/12/2025 02:47,CASE000173,chat,CL80697,pre-venta,vendedor,790
EMP0244,1/25/2025 10:40,CASE000174,chat,CL79514,post-venta,comprador,876
EMP0085,2/4/2025 10:16,CASE000175,chat,CL10074,post-venta,vendedor,561
EMP0114,2/24/2025 19:31,CASE000176,teléfono,CL88504,pre-venta,vendedor,545
EMP0116,1/29/2025 16:51,CASE000177,chat,CL52487,pre-venta,comprador,617
EMP0151,2/20/2025 08:24,CASE000178,teléfono,CL74042,reclamos,comprador,542
EMP0037,1/1/2025 15:05,CASE000179,chat,CL12552,reclamos,vendedor,525
EMP0072,3/30/2025 21:21,CASE000180,teléfono,CL24662,post-venta,vendedor,535
EMP0138,3/10/2025 03:45,CASE000181,chat,CL57576,reclamos,comprador,805
EMP0289,1/23/2025 08:35,CASE000182,teléfono,CL50306,post-venta,vendedor,692
EMP0017,2/22/2025 19:02,CASE000183,chat,CL41385,pre-venta,vendedor,542
EMP0280,2/1/2025 16:00,CASE000184,teléfono,CL17592,pre-venta,vendedor,305
EMP0177,2/5/2025 01:29,CASE000185,teléfono,CL41571,reclamos,vendedor,414
EMP0234,1/2/2025 15:16,CASE000186,chat,CL84364,reclamos,vendedor,660
EMP0242,2/1/2025 21:15,CASE000187,chat,CL20322,post-venta,vendedor,345
EMP0030,1/3/2025 13:30,CASE000188,teléfono,CL21226,post-venta,vendedor,635
EMP0065,3/10/2025 23:00,CASE000189,teléfono,CL73699,reclamos,comprador,472
EMP0081,3/14/2025 23:56,CASE000190,chat,CL19071,post-venta,comprador,611
EMP0284,3/22/2025 03:45,CASE000191,teléfono,CL79822,reclamos,comprador,607
EMP0013,2/2/2025 10:51,CASE000192,teléfono,CL26483,pre-venta,comprador,614
EMP0185,1/28/2025 17:08,CASE000193,teléfono,CL26828,pre-venta,vendedor,552
EMP0138,1/11/2025 13:43,CASE000194,teléfono,CL96474,post-venta,comprador,548
EMP0193,2/17/2025 21:21,CASE000195,chat,CL72296,reclamos,vendedor,513
EMP0026,3/17/2025 08:16,CASE000196,chat,CL82063,reclamos,comprador,658
EMP0237,3/15/2025 15:06,CASE000197,chat,CL31643,reclamos,vendedor,696
EMP0117,3/5/2025 10:33,CASE000198,teléfono,CL44741,reclamos,vendedor,453
EMP0038,1/1/2025 23:41,CASE000199,chat,CL79163,pre-venta,vendedor,593
EMP0045,3/6/2025 23:13,CASE000200,teléfono,CL89507,post-venta,comprador,623
EMP0186,2/18/2025 20:34,CASE000201,chat,CL65461,reclamos,comprador,622
EMP0169,2/2/2025 17:02,CASE000202,chat,CL37760,pre-venta,comprador,620
EMP0173,3/22/2025 17:53,CASE000203,teléfono,CL80686,reclamos,vendedor,551
EMP0219,3/13/2025 11:27,CASE000204,teléfono,CL36365,post-venta,vendedor,633
EMP0076,2/2/2025 10:38,CASE000205,teléfono,CL50857,post-venta,vendedor,674
EMP0204,1/15/2025 04:43,CASE000206,chat,CL62296,reclamos,comprador,616
EMP0079,1/30/2025 22:04,CASE000207,teléfono,CL98039,post-venta,comprador,660
EMP0212,1/11/2025 01:29,CASE000208,chat,CL95180,reclamos,vendedor,718
EMP0138,3/8/2025 23:15,CASE000209,teléfono,CL58944,reclamos,comprador,377
EMP0249,3/12/2025 10:53,CASE000210,teléfono,CL67422,pre-venta,comprador,713
EMP0238,1/2/2025 21:37,CASE000211,teléfono,CL77839,post-venta,comprador,641
EMP0090,3/7/2025 13:51,CASE000212,chat,CL69177,post-venta,comprador,466
EMP0202,2/13/2025 13:07,CASE000213,teléfono,CL25860,reclamos,vendedor,696
EMP0120,2/21/2025 08:49,CASE000214,chat,CL42493,post-venta,vendedor,552
EMP0011,2/28/2025 22:36,CASE000215,chat,CL39451,pre-venta,vendedor,568
EMP0203,1/31/2025 21:18,CASE000216,chat,CL18392,reclamos,vendedor,539
EMP0015,3/7/2025 07:34,CASE000217,teléfono,CL54313,pre-venta,vendedor,636
EMP0004,1/20/2025 20:00,CASE000218,teléfono,CL12757,reclamos,vendedor,505
EMP0228,2/22/2025 06:48,CASE000219,teléfono,CL87110,post-venta,vendedor,708
EMP0181,2/24/2025 20:31,CASE000220,teléfono,CL82603,pre-venta,vendedor,583
EMP0223,2/15/2025 03:40,CASE000221,teléfono,CL40161,reclamos,vendedor,556
EMP0046,2/28/2025 01:45,CASE000222,chat,CL87128,post-venta,comprador,690
EMP0031,3/29/2025 19:41,CASE000223,chat,CL38864,post-venta,vendedor,561
EMP0048,3/23/2025 13:28,CASE000224,teléfono,CL10942,pre-venta,comprador,713
EMP0184,2/13/2025 11:22,CASE000225,chat,CL19305,reclamos,comprador,717
EMP0131,1/30/2025 10:54,CASE000226,chat,CL92719,post-venta,vendedor,439
EMP0260,2/28/2025 00:52,CASE000227,teléfono,CL17716,post-venta,comprador,733
EMP0275,3/15/2025 11:03,CASE000228,chat,CL40007,post-venta,vendedor,424
EMP0150,1/8/2025 01:04,CASE000229,teléfono,CL18834,reclamos,comprador,740
EMP0025,3/18/2025 16:41,CASE000230,teléfono,CL14117,reclamos,vendedor,843
EMP0179,2/9/2025 18:44,CASE000231,chat,CL53309,pre-venta,vendedor,704
EMP0206,1/21/2025 03:38,CASE000232,teléfono,CL19287,pre-venta,comprador,341
EMP0005,2/10/2025 12:09,CASE000233,teléfono,CL77391,reclamos,comprador,727
EMP0178,1/13/2025 13:16,CASE000234,teléfono,CL41195,reclamos,comprador,869
EMP0151,1/22/2025 12:53,CASE000235,chat,CL46500,reclamos,vendedor,563
EMP0081,2/4/2025 01:40,CASE000236,chat,CL97684,reclamos,vendedor,595
EMP0131,3/13/2025 13:59,CASE000237,teléfono,CL73624,post-venta,comprador,457
EMP0225,2/24/2025 13:04,CASE000238,chat,CL38080,pre-venta,vendedor,637
EMP0091,2/4/2025 02:17,CASE000239,teléfono,CL80678,post-venta,comprador,752
EMP0262,2/4/2025 22:09,CASE000240,teléfono,CL27342,post-venta,vendedor,683
EMP0297,3/15/2025 23:21,CASE000241,chat,CL84847,reclamos,vendedor,977
EMP0010,2/26/2025 08:07,CASE000242,teléfono,CL85525,pre-venta,vendedor,603
EMP0118,2/24/2025 06:29,CASE000243,teléfono,CL71953,post-venta,vendedor,404
EMP0157,2/25/2025 16:20,CASE000244,chat,CL41850,reclamos,vendedor,620
EMP0081,2/21/2025 12:21,CASE000245,teléfono,CL71993,post-venta,comprador,310
EMP0174,1/11/2025 17:53,CASE000246,chat,CL63354,reclamos,vendedor,536
EMP0230,2/18/2025 07:47,CASE000247,teléfono,CL34957,post-venta,vendedor,794
EMP0157,3/1/2025 17:59,CASE000248,teléfono,CL22363,reclamos,comprador,639
EMP0200,2/28/2025 05:16,CASE000249,teléfono,CL22704,pre-venta,comprador,621
EMP0232,2/20/2025 23:43,CASE000250,chat,CL96374,reclamos,comprador,818
EMP0168,3/13/2025 22:43,CASE000251,teléfono,CL66498,reclamos,comprador,567
EMP0299,2/25/2025 06:56,CASE000252,chat,CL56438,pre-venta,comprador,751
EMP0103,3/17/2025 06:27,CASE000253,teléfono,CL65519,pre-venta,comprador,615
EMP0007,2/14/2025 19:52,CASE000254,chat,CL63883,pre-venta,vendedor,645
EMP0140,1/26/2025 16:17,CASE000255,chat,CL71213,reclamos,vendedor,453
EMP0208,3/8/2025 16:18,CASE000256,chat,CL17100,post-venta,vendedor,542
EMP0013,3/10/2025 16:34,CASE000257,chat,CL98259,pre-venta,comprador,432
EMP0189,1/7/2025 00:29,CASE000258,teléfono,CL95649,reclamos,comprador,588
EMP0175,1/18/2025 15:31,CASE000259,chat,CL94696,reclamos,comprador,646
EMP0131,3/25/2025 23:23,CASE000260,chat,CL22899,pre-venta,comprador,466
EMP0120,1/21/2025 15:45,CASE000261,teléfono,CL17944,reclamos,vendedor,845
EMP0168,3/21/2025 20:30,CASE000262,chat,CL62772,reclamos,vendedor,633
EMP0268,2/3/2025 15:37,CASE000263,chat,CL54473,post-venta,vendedor,606
EMP0159,2/6/2025 02:03,CASE000264,teléfono,CL24322,pre-venta,comprador,692
EMP0163,3/19/2025 15:20,CASE000265,teléfono,CL42591,pre-venta,comprador,500
EMP0027,3/26/2025 09:26,CASE000266,teléfono,CL35112,reclamos,vendedor,619
EMP0259,3/9/2025 05:00,CASE000267,teléfono,CL34931,post-venta,comprador,513
EMP0052,3/24/2025 11:30,CASE000268,chat,CL80292,post-venta,vendedor,787
EMP0135,1/23/2025 08:22,CASE000269,chat,CL68800,pre-venta,comprador,472
EMP0289,1/27/2025 07:08,CASE000270,teléfono,CL28373,reclamos,vendedor,607
EMP0292,3/11/2025 05:57,CASE000271,teléfono,CL65296,post-venta,vendedor,639
EMP0017,1/12/2025 09:39,CASE000272,chat,CL34050,pre-venta,vendedor,647
EMP0116,2/18/2025 21:15,CASE000273,teléfono,CL46509,post-venta,comprador,530
EMP0294,1/16/2025 03:03,CASE000274,teléfono,CL70637,post-venta,vendedor,492
EMP0049,3/7/2025 00:09,CASE000275,chat,CL42742,reclamos,comprador,531
EMP0061,1/14/2025 06:47,CASE000276,teléfono,CL19880,post-venta,comprador,663
EMP0076,3/3/2025 23:08,CASE000277,chat,CL68082,pre-venta,comprador,582
EMP0268,1/8/2025 06:48,CASE000278,chat,CL82132,pre-venta,comprador,695
EMP0146,3/2/2025 13:36,CASE000279,chat,CL22833,reclamos,vendedor,657
EMP0190,1/15/2025 14:28,CASE000280,teléfono,CL16630,reclamos,comprador,326
EMP0006,1/30/2025 16:58,CASE000281,teléfono,CL95477,reclamos,comprador,629
EMP0205,2/17/2025 07:52,CASE000282,teléfono,CL80855,reclamos,comprador,870
EMP0250,1/1/2025 04:38,CASE000283,chat,CL11934,post-venta,vendedor,759
EMP0106,1/27/2025 16:06,CASE000284,teléfono,CL22224,reclamos,comprador,650
EMP0267,3/27/2025 10:02,CASE000285,chat,CL40982,post-venta,comprador,472
EMP0021,1/14/2025 10:23,CASE000286,chat,CL31798,post-venta,comprador,657
EMP0055,1/11/2025 05:09,CASE000287,teléfono,CL63269,reclamos,vendedor,688
EMP0177,3/20/2025 14:57,CASE000288,teléfono,CL73653,reclamos,comprador,569
EMP0236,3/11/2025 13:02,CASE000289,teléfono,CL73092,reclamos,comprador,638
EMP0009,3/1/2025 21:05,CASE000290,chat,CL38016,reclamos,vendedor,781
EMP0118,1/30/2025 05:09,CASE000291,chat,CL62565,post-venta,comprador,497
EMP0294,3/6/2025 23:48,CASE000292,teléfono,CL17685,pre-venta,vendedor,473
EMP0101,2/15/2025 18:09,CASE000293,teléfono,CL31579,post-venta,vendedor,683
EMP0202,1/30/2025 02:50,CASE000294,chat,CL59672,pre-venta,vendedor,654
EMP0145,1/27/2025 02:55,CASE000295,teléfono,CL10282,pre-venta,vendedor,723
EMP0181,1/30/2025 00:45,CASE000296,chat,CL61173,pre-venta,comprador,668
EMP0036,2/28/2025 11:17,CASE000297,chat,CL44760,reclamos,vendedor,531
EMP0036,1/2/2025 04:06,CASE000298,chat,CL69638,pre-venta,comprador,651
EMP0020,3/27/2025 20:37,CASE000299,teléfono,CL47388,pre-venta,comprador,462
EMP0230,1/24/2025 01:07,CASE000300,chat,CL65444,pre-venta,comprador,569
EMP0211,1/6/2025 06:32,CASE000301,teléfono,CL82845,pre-venta,comprador,660
EMP0272,3/1/2025 11:13,CASE000302,chat,CL96752,pre-venta,comprador,556
EMP0006,3/14/2025 12:48,CASE000303,chat,CL73788,post-venta,vendedor,896
EMP0159,3/30/2025 01:24,CASE000304,chat,CL30289,post-venta,vendedor,372
EMP0146,2/24/2025 20:31,CASE000305,chat,CL34890,pre-venta,comprador,534
EMP0169,3/27/2025 04:06,CASE000306,teléfono,CL48890,reclamos,vendedor,487
EMP0047,2/9/2025 05:59,CASE000307,chat,CL38534,reclamos,comprador,515
EMP0024,2/12/2025 21:15,CASE000308,chat,CL17665,pre-venta,vendedor,522
EMP0110,1/5/2025 15:09,CASE000309,teléfono,CL85914,post-venta,vendedor,440
EMP0093,2/12/2025 13:00,CASE000310,teléfono,CL81066,pre-venta,comprador,690
EMP0217,2/9/2025 17:56,CASE000311,teléfono,CL17989,reclamos,comprador,534
EMP0104,3/27/2025 08:47,CASE000312,teléfono,CL51104,reclamos,comprador,619
EMP0217,1/25/2025 13:08,CASE000313,chat,CL17492,reclamos,vendedor,547
EMP0168,1/1/2025 15:47,CASE000314,teléfono,CL16572,reclamos,comprador,517
EMP0045,1/8/2025 17:39,CASE000315,chat,CL86569,pre-venta,comprador,800
