Id de empleado,Fecha y hora de interacci�n,Id del caso,Tipo de interacci�n,Id de cliente,Raz�n del reclamo,Cr�dito otorgado (USD)
EMP0280,3/8/2025 20:07,CASE018153,teléfono,CL53895,Producto no recibido,7.88
EMP0227,2/5/2025 07:38,CASE036892,chat,CL68645,Incumplimiento de garantía,11.21
EMP0121,3/9/2025 07:00,CASE045712,teléfono,CL27232,Cobro duplicado,12.95
EMP0264,1/7/2025 15:13,CASE027378,teléfono,CL34371,Producto no recibido,27.58
EMP0069,1/6/2025 18:28,CASE020055,chat,CL15769,Cobro duplicado,11.01
EMP0047,1/21/2025 20:54,CASE038016,teléfono,CL10561,Cobro duplicado,42.66
EMP0283,1/29/2025 04:00,CASE036878,teléfono,CL78682,Cobro duplicado,8.89
EMP0271,1/29/2025 17:00,CASE018634,chat,CL91043,Cobro duplicado,37.81
EMP0065,2/28/2025 22:57,CASE027544,teléfono,CL19365,Incumplimiento de garantía,47.28
EMP0298,3/5/2025 06:45,CASE017592,teléfono,CL70868,Producto no recibido,44.57
EMP0225,2/21/2025 20:51,CASE007554,teléfono,CL19096,Incumplimiento de garantía,5.99
EMP0198,2/17/2025 17:58,CASE033391,chat,CL57403,Producto no recibido,31.43
EMP0156,1/29/2025 23:19,CASE012312,teléfono,CL45628,Incumplimiento de garantía,17.67
EMP0021,1/12/2025 09:04,CASE042145,chat,CL14155,Producto no recibido,8.93
EMP0288,2/6/2025 01:24,CASE031998,chat,CL84348,Cobro duplicado,18.43
EMP0267,3/21/2025 00:23,CASE015811,chat,CL75937,Producto no recibido,23.82
EMP0006,2/6/2025 18:23,CASE025920,chat,CL69225,Producto no recibido,18.94
EMP0295,2/23/2025 16:12,CASE029424,teléfono,CL23141,Error en la facturación,41.48
EMP0109,3/4/2025 06:06,CASE041767,chat,CL19424,Cobro duplicado,31.83
EMP0133,3/18/2025 21:17,CASE018932,teléfono,CL48721,Cobro duplicado,20.4
EMP0067,3/6/2025 10:05,CASE028611,teléfono,CL42590,Incumplimiento de garantía,35.92
EMP0215,3/10/2025 20:33,CASE014356,chat,CL19710,Producto no recibido,49.13
EMP0044,1/27/2025 06:27,CASE022067,teléfono,CL96549,Error en la facturación,9.8
EMP0273,3/22/2025 15:41,CASE017418,teléfono,CL49676,Producto no recibido,7.84
EMP0203,1/2/2025 02:41,CASE045565,teléfono,CL58697,Producto no recibido,22.76
EMP0202,2/19/2025 01:17,CASE014550,teléfono,CL89281,Incumplimiento de garantía,45.21
EMP0295,1/1/2025 12:20,CASE043224,teléfono,CL55503,Cobro duplicado,43.97
EMP0142,2/26/2025 10:29,CASE014225,teléfono,CL48455,Error en la facturación,18.8
EMP0060,1/8/2025 07:52,CASE004145,teléfono,CL19830,Cobro duplicado,22.07
EMP0111,2/13/2025 03:10,CASE029868,teléfono,CL46435,Producto no recibido,37.04
EMP0275,2/6/2025 07:55,CASE025275,teléfono,CL24948,Producto no recibido,8.34
EMP0230,3/25/2025 18:53,CASE039168,chat,CL98498,Incumplimiento de garantía,23.88
EMP0015,1/2/2025 22:38,CASE014697,chat,CL89235,Producto defectuoso,35.26
EMP0019,1/19/2025 13:19,CASE016845,teléfono,CL34704,Producto defectuoso,34
EMP0193,1/9/2025 18:37,CASE017479,teléfono,CL28181,Cobro duplicado,21.28
EMP0078,3/27/2025 02:33,CASE021968,chat,CL53297,Cobro duplicado,22.55
EMP0256,1/20/2025 21:16,CASE032095,teléfono,CL46691,Incumplimiento de garantía,35.25
EMP0222,1/31/2025 11:08,CASE014044,teléfono,CL29254,Incumplimiento de garantía,40.09
EMP0057,3/20/2025 18:39,CASE045374,teléfono,CL75466,Error en la facturación,14.48
EMP0073,3/5/2025 11:37,CASE036658,teléfono,CL42521,Producto no recibido,14
EMP0276,1/8/2025 01:14,CASE017070,chat,CL26661,Producto no recibido,29.64
EMP0085,3/19/2025 14:18,CASE010272,chat,CL48086,Cobro duplicado,32.02
EMP0064,3/9/2025 10:16,CASE028733,teléfono,CL90073,Error en la facturación,19.85
EMP0271,1/18/2025 01:25,CASE001321,chat,CL13280,Producto no recibido,20.16
EMP0188,1/26/2025 06:43,CASE034977,chat,CL61621,Producto no recibido,22.29
EMP0266,1/19/2025 17:45,CASE017816,chat,CL94360,Cobro duplicado,45.61
EMP0251,1/15/2025 17:26,CASE022015,chat,CL79361,Incumplimiento de garantía,15.54
EMP0212,2/11/2025 13:30,CASE021753,teléfono,CL75084,Cobro duplicado,28.62
EMP0264,1/24/2025 09:16,CASE048776,chat,CL66375,Error en la facturación,26.57
EMP0279,2/21/2025 13:12,CASE034376,teléfono,CL13279,Incumplimiento de garantía,43.64
EMP0223,1/8/2025 10:53,CASE015948,teléfono,CL29715,Producto defectuoso,27.33
EMP0237,3/22/2025 22:16,CASE002630,teléfono,CL20730,Producto defectuoso,5.84
EMP0018,2/14/2025 18:23,CASE010109,chat,CL41242,Producto defectuoso,5.68
EMP0214,1/9/2025 00:41,CASE013110,teléfono,CL38329,Cobro duplicado,11.22
EMP0112,2/14/2025 04:26,CASE022532,teléfono,CL27607,Producto no recibido,10.37
EMP0015,2/10/2025 23:26,CASE017550,chat,CL74739,Producto no recibido,20.36
EMP0195,2/25/2025 04:49,CASE020099,teléfono,CL17503,Producto no recibido,26.66
EMP0135,3/28/2025 07:03,CASE047876,teléfono,CL10521,Producto no recibido,21.39
EMP0081,3/17/2025 13:16,CASE011526,chat,CL20161,Producto defectuoso,23.49
EMP0191,2/10/2025 13:59,CASE030072,teléfono,CL68723,Producto no recibido,35.36
EMP0084,1/16/2025 01:03,CASE013597,chat,CL56494,Error en la facturación,8.58
EMP0219,1/4/2025 07:39,CASE026426,teléfono,CL75008,Cobro duplicado,48.71
EMP0011,1/6/2025 20:29,CASE029229,chat,CL70302,Incumplimiento de garantía,27.88
EMP0161,1/9/2025 03:37,CASE013410,chat,CL60625,Error en la facturación,35.19
EMP0022,3/17/2025 00:06,CASE039002,chat,CL69501,Error en la facturación,18.25
EMP0142,1/13/2025 13:26,CASE039075,teléfono,CL91221,Producto defectuoso,21.7
EMP0295,2/24/2025 23:38,CASE012577,chat,CL22116,Incumplimiento de garantía,7.89
EMP0040,2/28/2025 01:27,CASE015049,teléfono,CL54128,Producto defectuoso,16.95
EMP0032,2/13/2025 15:11,CASE018773,chat,CL22108,Producto defectuoso,11.49
EMP0219,1/28/2025 13:17,CASE036104,chat,CL35243,Producto defectuoso,13.31
EMP0201,1/28/2025 10:15,CASE038549,teléfono,CL14866,Cobro duplicado,43.94
EMP0248,2/19/2025 00:08,CASE046135,teléfono,CL61397,Producto no recibido,18.3
EMP0124,1/14/2025 21:18,CASE032989,chat,CL55266,Error en la facturación,45.3
EMP0225,1/30/2025 03:43,CASE031149,chat,CL86410,Error en la facturación,34.6
EMP0169,2/17/2025 00:20,CASE046439,chat,CL38194,Producto no recibido,22.51
EMP0293,3/27/2025 20:14,CASE003304,chat,CL57945,Cobro duplicado,22.53
EMP0270,2/2/2025 11:48,CASE040670,chat,CL88193,Producto defectuoso,49.32
EMP0195,2/1/2025 12:56,CASE002488,teléfono,CL27992,Error en la facturación,27.01
EMP0085,3/25/2025 10:50,CASE005617,teléfono,CL20490,Producto no recibido,49.54
EMP0046,2/24/2025 08:00,CASE006467,teléfono,CL52390,Producto no recibido,24.12
EMP0153,1/9/2025 05:09,CASE045416,chat,CL28168,Incumplimiento de garantía,13.5
EMP0057,1/31/2025 14:11,CASE013057,teléfono,CL44037,Producto defectuoso,16.16
EMP0216,2/22/2025 07:59,CASE035679,teléfono,CL13657,Producto defectuoso,16.84
EMP0169,3/27/2025 04:06,CASE000306,teléfono,CL48890,Producto defectuoso,5.1
EMP0207,3/16/2025 16:23,CASE046529,teléfono,CL68917,Cobro duplicado,27.24
EMP0116,1/5/2025 18:09,CASE046492,chat,CL78407,Cobro duplicado,10.86
EMP0160,3/30/2025 07:51,CASE008812,chat,CL75568,Producto no recibido,44.31
EMP0016,2/25/2025 16:05,CASE020853,teléfono,CL81458,Cobro duplicado,35.7
EMP0141,2/21/2025 15:08,CASE048969,teléfono,CL78582,Cobro duplicado,19.58
EMP0131,1/29/2025 03:04,CASE045985,teléfono,CL97838,Producto no recibido,29.62
EMP0106,3/9/2025 05:40,CASE028064,chat,CL65785,Incumplimiento de garantía,7.48
EMP0010,2/8/2025 01:02,CASE032136,chat,CL18052,Producto no recibido,17.02
EMP0161,3/29/2025 20:01,CASE021792,teléfono,CL88520,Producto defectuoso,43.52
EMP0066,3/22/2025 18:19,CASE012471,chat,CL57641,Error en la facturación,35.55
EMP0163,3/27/2025 19:32,CASE018256,chat,CL41637,Incumplimiento de garantía,48.47
EMP0175,3/27/2025 22:49,CASE033118,chat,CL65758,Cobro duplicado,46.72
EMP0234,3/12/2025 08:12,CASE017863,teléfono,CL83096,Incumplimiento de garantía,27.96
EMP0144,3/17/2025 23:04,CASE006042,chat,CL45633,Cobro duplicado,46.09
EMP0106,2/10/2025 05:55,CASE026949,teléfono,CL43132,Incumplimiento de garantía,17.65
EMP0046,1/12/2025 14:17,CASE005950,teléfono,CL91015,Producto defectuoso,32.27
EMP0297,2/14/2025 22:11,CASE010791,chat,CL98853,Producto no recibido,16.55
EMP0130,1/9/2025 19:51,CASE040833,chat,CL51800,Producto no recibido,17.18
EMP0033,3/1/2025 09:07,CASE011055,teléfono,CL33950,Producto no recibido,23.62
EMP0266,1/22/2025 21:11,CASE020425,teléfono,CL72566,Producto no recibido,11.05
EMP0043,3/12/2025 15:44,CASE010943,teléfono,CL59054,Producto no recibido,40.9
EMP0194,3/20/2025 10:49,CASE032816,chat,CL61304,Incumplimiento de garantía,47.02
EMP0077,3/21/2025 12:51,CASE005026,chat,CL94886,Producto no recibido,24.35
EMP0048,1/28/2025 09:48,CASE011806,teléfono,CL66250,Error en la facturación,28.91
EMP0273,3/5/2025 07:01,CASE021959,teléfono,CL12487,Producto defectuoso,28.36
EMP0174,2/13/2025 21:03,CASE017920,teléfono,CL36422,Producto no recibido,26.86
EMP0249,1/5/2025 05:13,CASE016767,teléfono,CL10888,Producto defectuoso,29.98
EMP0155,1/2/2025 06:24,CASE001396,chat,CL38305,Cobro duplicado,31.83
EMP0067,2/7/2025 00:37,CASE005913,teléfono,CL51533,Producto no recibido,39.95
EMP0292,3/28/2025 21:27,CASE007975,chat,CL91151,Incumplimiento de garantía,40.62
EMP0255,2/5/2025 18:47,CASE005308,teléfono,CL80597,Incumplimiento de garantía,29.24
EMP0026,3/30/2025 01:44,CASE022203,chat,CL98367,Incumplimiento de garantía,34.18
EMP0143,1/30/2025 04:06,CASE041402,teléfono,CL63529,Producto no recibido,14.09
EMP0261,2/4/2025 06:53,CASE008376,teléfono,CL12464,Producto defectuoso,42.52
EMP0249,3/1/2025 09:42,CASE042351,chat,CL49446,Producto no recibido,20.29
EMP0125,3/25/2025 21:58,CASE049165,chat,CL74752,Error en la facturación,30.35
EMP0074,2/13/2025 22:04,CASE049538,teléfono,CL86396,Producto defectuoso,47.52
EMP0131,2/1/2025 10:56,CASE017371,teléfono,CL24545,Producto defectuoso,32.3
EMP0245,2/22/2025 08:50,CASE005466,teléfono,CL68877,Producto defectuoso,22.53
EMP0109,3/2/2025 08:52,CASE011039,teléfono,CL32365,Producto defectuoso,32.29
EMP0170,2/6/2025 23:04,CASE023182,chat,CL71894,Cobro duplicado,26.18
EMP0009,3/27/2025 10:32,CASE012310,chat,CL65531,Producto no recibido,42.06
EMP0210,1/1/2025 21:35,CASE010945,teléfono,CL63025,Producto defectuoso,26.58
EMP0069,2/7/2025 03:32,CASE040639,chat,CL28654,Producto no recibido,29.99
EMP0136,3/26/2025 15:55,CASE022296,teléfono,CL31396,Error en la facturación,43.65
EMP0166,2/3/2025 21:50,CASE016618,chat,CL50701,Producto no recibido,36.78
EMP0264,3/2/2025 11:10,CASE001651,chat,CL52568,Incumplimiento de garantía,31.57
EMP0286,2/20/2025 23:12,CASE000140,chat,CL88104,Producto no recibido,33.79
EMP0069,3/18/2025 20:32,CASE016207,teléfono,CL28919,Cobro duplicado,23.49
EMP0172,2/22/2025 10:29,CASE003093,chat,CL64238,Producto defectuoso,31.76
EMP0149,2/4/2025 17:27,CASE039574,chat,CL91652,Cobro duplicado,17.22
EMP0098,3/5/2025 04:06,CASE011695,chat,CL56628,Producto no recibido,40.93
EMP0223,1/31/2025 09:33,CASE034444,teléfono,CL19193,Error en la facturación,9.71
EMP0186,3/18/2025 01:15,CASE036508,teléfono,CL28143,Incumplimiento de garantía,47.26
EMP0102,1/7/2025 06:19,CASE023308,teléfono,CL91393,Producto defectuoso,41.77
EMP0260,2/15/2025 05:17,CASE045143,chat,CL82540,Producto defectuoso,38.72
EMP0125,3/12/2025 00:36,CASE038754,teléfono,CL82960,Incumplimiento de garantía,36.94
EMP0161,3/1/2025 18:17,CASE046465,chat,CL62032,Incumplimiento de garantía,46.65
EMP0220,3/16/2025 01:54,CASE014139,teléfono,CL89574,Producto defectuoso,10.73
EMP0176,2/21/2025 13:19,CASE007379,teléfono,CL92483,Producto no recibido,6.81
EMP0175,1/11/2025 08:26,CASE033210,chat,CL89905,Producto defectuoso,10.4
EMP0188,2/28/2025 05:25,CASE046190,chat,CL33178,Producto no recibido,41.55
EMP0120,2/13/2025 16:04,CASE029728,teléfono,CL58506,Cobro duplicado,15.32
EMP0221,1/28/2025 07:41,CASE001241,chat,CL12875,Producto defectuoso,12.04
EMP0155,1/30/2025 07:39,CASE042025,teléfono,CL34448,Error en la facturación,39.74
EMP0159,1/7/2025 21:00,CASE016972,chat,CL66859,Incumplimiento de garantía,27.84
EMP0151,2/5/2025 19:33,CASE016218,chat,CL55700,Incumplimiento de garantía,33.07
EMP0013,2/13/2025 11:39,CASE030063,chat,CL85131,Cobro duplicado,8.62
EMP0005,2/2/2025 13:50,CASE006212,teléfono,CL76316,Producto no recibido,31.36
EMP0044,1/12/2025 09:36,CASE045855,chat,CL89039,Incumplimiento de garantía,20.49
EMP0249,1/20/2025 04:02,CASE022356,chat,CL82240,Incumplimiento de garantía,19.74
EMP0181,1/22/2025 09:23,CASE034786,chat,CL91039,Error en la facturación,22.64
EMP0274,1/13/2025 19:08,CASE044952,teléfono,CL55182,Producto defectuoso,34.84
EMP0206,3/8/2025 16:00,CASE023209,teléfono,CL19007,Error en la facturación,41.54
EMP0231,3/20/2025 13:10,CASE036358,chat,CL89862,Incumplimiento de garantía,14.29
EMP0104,1/29/2025 10:42,CASE008078,teléfono,CL39724,Incumplimiento de garantía,45.45
EMP0178,3/15/2025 16:09,CASE001938,teléfono,CL91633,Incumplimiento de garantía,32.75
EMP0246,3/27/2025 19:21,CASE037946,chat,CL26894,Producto no recibido,20.36
EMP0159,3/1/2025 22:45,CASE030965,chat,CL37263,Cobro duplicado,20.6
EMP0190,1/27/2025 04:26,CASE002543,chat,CL47298,Error en la facturación,46.26
EMP0187,3/27/2025 17:28,CASE025235,teléfono,CL42017,Producto no recibido,39.14
EMP0264,3/24/2025 07:50,CASE045914,teléfono,CL92477,Producto no recibido,12.06
EMP0044,2/18/2025 06:04,CASE002991,teléfono,CL84289,Cobro duplicado,39.68
EMP0105,1/20/2025 08:21,CASE014785,teléfono,CL10032,Cobro duplicado,36.67
EMP0196,2/25/2025 16:52,CASE033834,chat,CL78329,Producto no recibido,48.47
EMP0209,1/15/2025 07:11,CASE000742,chat,CL85849,Producto no recibido,7.57
EMP0101,1/7/2025 21:32,CASE021914,chat,CL32935,Error en la facturación,44.25
EMP0112,3/7/2025 19:34,CASE004349,chat,CL73499,Incumplimiento de garantía,29.17
EMP0117,2/7/2025 17:16,CASE014424,chat,CL73040,Producto no recibido,9.85
EMP0278,3/6/2025 16:59,CASE047407,chat,CL47440,Producto defectuoso,32.89
EMP0194,3/28/2025 05:01,CASE028424,teléfono,CL68935,Producto defectuoso,15.3
EMP0147,2/12/2025 00:02,CASE044936,teléfono,CL51726,Cobro duplicado,45.56
EMP0163,1/2/2025 07:25,CASE040715,teléfono,CL70450,Error en la facturación,6.84
EMP0191,3/21/2025 15:34,CASE031823,chat,CL56626,Cobro duplicado,25.66
EMP0076,2/12/2025 13:57,CASE022955,teléfono,CL78162,Incumplimiento de garantía,37.23
EMP0003,3/26/2025 08:29,CASE037605,teléfono,CL91721,Producto no recibido,31.39
EMP0101,2/14/2025 02:20,CASE032819,teléfono,CL74671,Producto defectuoso,23.39
EMP0294,3/27/2025 17:21,CASE027989,teléfono,CL10032,Cobro duplicado,35.66
EMP0156,3/14/2025 07:32,CASE043394,teléfono,CL34790,Cobro duplicado,23.82
EMP0212,3/19/2025 03:38,CASE022058,teléfono,CL84509,Producto defectuoso,15.58
EMP0295,2/9/2025 14:19,CASE034654,chat,CL81792,Producto no recibido,36.85
EMP0253,1/25/2025 10:38,CASE014270,chat,CL77853,Cobro duplicado,46.84
EMP0014,2/2/2025 01:19,CASE027307,teléfono,CL98007,Cobro duplicado,12.28
EMP0218,2/19/2025 01:43,CASE042017,chat,CL79742,Producto defectuoso,19.2
EMP0129,1/8/2025 19:44,CASE047399,chat,CL48922,Cobro duplicado,29
EMP0155,2/16/2025 03:56,CASE030550,chat,CL13450,Producto no recibido,32.89
EMP0214,3/4/2025 23:49,CASE046794,chat,CL70210,Producto defectuoso,23.39
EMP0241,3/9/2025 10:44,CASE033064,chat,CL39287,Error en la facturación,26.63
EMP0126,3/8/2025 05:40,CASE006354,teléfono,CL49365,Incumplimiento de garantía,39.41
EMP0239,1/3/2025 21:54,CASE042338,chat,CL12882,Producto no recibido,17.42
EMP0063,3/12/2025 16:59,CASE019803,chat,CL42020,Error en la facturación,5.92
EMP0241,2/18/2025 12:19,CASE014013,teléfono,CL68170,Producto defectuoso,18.21
EMP0260,1/9/2025 01:49,CASE037372,chat,CL49362,Error en la facturación,33.84
EMP0253,3/3/2025 19:49,CASE019139,chat,CL29666,Incumplimiento de garantía,28.11
EMP0155,3/25/2025 14:10,CASE004984,chat,CL17419,Producto defectuoso,18.38
EMP0091,3/1/2025 01:11,CASE044093,teléfono,CL86262,Producto no recibido,31.69
EMP0278,3/25/2025 18:32,CASE037129,teléfono,CL15694,Error en la facturación,5.66
EMP0263,2/15/2025 23:04,CASE028400,teléfono,CL63113,Error en la facturación,28.82
EMP0076,3/7/2025 11:34,CASE009444,teléfono,CL74713,Producto defectuoso,47.56
EMP0019,3/24/2025 15:08,CASE000960,teléfono,CL35928,Producto no recibido,47.37
EMP0137,2/28/2025 10:58,CASE048864,chat,CL73992,Producto defectuoso,24.24
EMP0258,3/8/2025 13:15,CASE005033,teléfono,CL48558,Producto defectuoso,40.92
EMP0156,3/9/2025 08:20,CASE035230,teléfono,CL30803,Error en la facturación,12.8
EMP0283,2/10/2025 21:40,CASE012104,chat,CL72970,Producto defectuoso,48.17
EMP0197,2/17/2025 06:06,CASE003071,chat,CL23399,Error en la facturación,19.1
EMP0110,3/16/2025 06:54,CASE037379,teléfono,CL87455,Error en la facturación,44.72
EMP0030,2/23/2025 02:56,CASE028382,chat,CL74295,Error en la facturación,6.53
EMP0266,3/24/2025 04:16,CASE018535,chat,CL34687,Producto no recibido,16.43
EMP0153,3/11/2025 18:09,CASE017394,teléfono,CL51755,Producto defectuoso,40.5
EMP0197,1/7/2025 23:51,CASE031580,chat,CL62208,Producto no recibido,7.52
EMP0173,1/21/2025 18:21,CASE027233,chat,CL11339,Cobro duplicado,11.69
EMP0091,2/21/2025 23:07,CASE038316,chat,CL17102,Error en la facturación,30.4
EMP0299,3/3/2025 18:16,CASE042847,teléfono,CL70342,Cobro duplicado,27.7
EMP0217,1/29/2025 13:09,CASE010673,chat,CL67373,Error en la facturación,22.41
EMP0136,3/28/2025 12:22,CASE026042,chat,CL75036,Incumplimiento de garantía,20.65
EMP0010,2/20/2025 17:45,CASE046415,chat,CL40596,Producto defectuoso,14.31
EMP0169,2/8/2025 20:36,CASE032723,chat,CL51679,Producto defectuoso,6.33
EMP0155,3/7/2025 22:53,CASE049397,chat,CL82109,Producto defectuoso,41.19
EMP0172,1/2/2025 19:56,CASE041093,chat,CL89783,Cobro duplicado,30.49
EMP0278,3/2/2025 05:29,CASE016329,chat,CL78035,Incumplimiento de garantía,19.17
EMP0165,3/24/2025 07:36,CASE009122,teléfono,CL83825,Producto defectuoso,37.3
EMP0037,2/8/2025 06:36,CASE017519,chat,CL26254,Producto no recibido,9.07
EMP0071,1/10/2025 09:08,CASE020725,teléfono,CL76047,Error en la facturación,19.87
EMP0142,2/24/2025 01:39,CASE023125,chat,CL58732,Error en la facturación,46.77
EMP0176,2/14/2025 11:35,CASE023122,chat,CL21988,Producto no recibido,43.66
EMP0097,2/23/2025 02:32,CASE006476,chat,CL55653,Error en la facturación,21.97
EMP0126,2/9/2025 01:56,CASE041567,chat,CL19020,Producto defectuoso,24.53
EMP0138,1/24/2025 17:54,CASE029050,chat,CL41028,Producto defectuoso,17.44
EMP0166,1/14/2025 06:50,CASE031990,chat,CL74674,Producto defectuoso,49.96
EMP0063,3/2/2025 02:03,CASE023567,teléfono,CL25012,Producto defectuoso,41.94
EMP0023,1/28/2025 10:02,CASE021852,chat,CL66909,Cobro duplicado,30.64
EMP0116,3/16/2025 03:41,CASE041650,chat,CL37856,Producto no recibido,48.53
EMP0185,3/22/2025 19:13,CASE033794,teléfono,CL34150,Incumplimiento de garantía,38.93
EMP0179,1/29/2025 05:51,CASE028476,chat,CL43108,Cobro duplicado,47.34
EMP0109,3/12/2025 14:36,CASE046175,chat,CL68710,Error en la facturación,37.84
EMP0269,2/12/2025 07:29,CASE001758,chat,CL67595,Producto defectuoso,8.38
EMP0216,1/4/2025 20:17,CASE008516,teléfono,CL97382,Cobro duplicado,9.8
EMP0045,2/8/2025 17:04,CASE031106,teléfono,CL91375,Producto no recibido,16.25
EMP0061,3/23/2025 14:48,CASE010891,chat,CL42632,Producto no recibido,6.14
EMP0058,3/5/2025 23:14,CASE038819,teléfono,CL84796,Cobro duplicado,7.86
EMP0072,2/15/2025 17:00,CASE040362,teléfono,CL54605,Error en la facturación,30.95
EMP0003,2/7/2025 06:19,CASE010360,teléfono,CL52182,Error en la facturación,39.77
EMP0207,2/2/2025 01:05,CASE030273,chat,CL52506,Error en la facturación,7.9
EMP0096,1/3/2025 00:16,CASE038874,chat,CL31888,Incumplimiento de garantía,16.8
EMP0258,1/19/2025 07:25,CASE020955,teléfono,CL32405,Error en la facturación,32.23
EMP0165,3/22/2025 13:40,CASE003901,chat,CL25919,Producto no recibido,24.17
EMP0082,1/6/2025 21:45,CASE046463,teléfono,CL34746,Error en la facturación,42.54
EMP0166,2/14/2025 21:18,CASE009721,chat,CL73691,Producto defectuoso,20.56
EMP0096,1/12/2025 13:18,CASE035905,teléfono,CL17468,Producto no recibido,10.08
EMP0189,2/17/2025 08:13,CASE042430,teléfono,CL54378,Error en la facturación,47.39
EMP0024,2/26/2025 16:08,CASE000422,chat,CL19862,Cobro duplicado,11.85
EMP0089,2/10/2025 06:41,CASE024152,teléfono,CL65944,Error en la facturación,42.05
EMP0248,1/15/2025 06:36,CASE018621,teléfono,CL96546,Error en la facturación,20.46
EMP0159,3/12/2025 00:23,CASE043037,chat,CL36377,Error en la facturación,24.13
EMP0231,2/17/2025 06:08,CASE016478,chat,CL23506,Incumplimiento de garantía,18.09
EMP0005,3/4/2025 16:16,CASE040530,teléfono,CL72589,Producto no recibido,27.55
EMP0189,1/7/2025 09:37,CASE017969,chat,CL37047,Producto no recibido,39.29
EMP0071,1/24/2025 00:45,CASE044694,chat,CL40145,Producto defectuoso,41.25
EMP0176,1/12/2025 16:46,CASE006947,chat,CL53684,Producto defectuoso,23.29
EMP0159,1/11/2025 17:12,CASE045061,teléfono,CL91353,Cobro duplicado,12.59
EMP0172,2/18/2025 05:50,CASE015499,chat,CL64823,Cobro duplicado,34.09
EMP0091,1/1/2025 16:11,CASE019326,teléfono,CL69826,Producto defectuoso,22.22
EMP0282,3/3/2025 18:04,CASE034157,teléfono,CL44171,Error en la facturación,49.22
EMP0177,3/7/2025 20:41,CASE049387,chat,CL84081,Cobro duplicado,8.57
EMP0199,1/4/2025 08:38,CASE016071,teléfono,CL50433,Cobro duplicado,10.87
EMP0078,2/19/2025 08:59,CASE014886,chat,CL30079,Incumplimiento de garantía,17.4
EMP0017,1/29/2025 20:33,CASE046961,chat,CL20668,Producto no recibido,35.5
EMP0204,3/16/2025 12:54,CASE022245,chat,CL23396,Cobro duplicado,9.32
EMP0026,3/30/2025 06:32,CASE036251,chat,CL12540,Producto no recibido,26.08
EMP0084,2/9/2025 19:54,CASE049553,chat,CL82588,Producto defectuoso,6.16
EMP0097,1/31/2025 15:56,CASE034785,chat,CL59942,Producto no recibido,7.07
EMP0046,2/23/2025 18:45,CASE047445,teléfono,CL44664,Error en la facturación,12.78
EMP0295,2/17/2025 11:19,CASE015926,teléfono,CL42747,Producto no recibido,42.25
