Id de empleado,Fecha y hora de interacci�n,Id del caso,Tipo de interacción,Id de cliente,Cola,Tipo de cliente,Raz�n de terminaci�n de la interacci�n
EMP0055,2/28/2025 07:38,CASE009078,teléfono,CL44571,post-venta,comprador,falla
EMP0058,2/16/2025 13:05,CASE018695,teléfono,CL36886,post-venta,vendedor,falla
EMP0240,3/16/2025 05:30,CASE023504,teléfono,CL56683,pre-venta,comprador,colgado por el agente
EMP0195,1/3/2025 08:13,CASE033631,chat,CL72890,post-venta,vendedor,falla
EMP0167,3/15/2025 20:39,CASE041013,teléfono,CL83203,reclamos,comprador,falla
EMP0067,3/1/2025 19:55,CASE046320,chat,CL87962,reclamos,vendedor,colgado por el agente
EMP0165,2/5/2025 13:50,CASE044386,teléfono,CL40872,post-venta,vendedor,terminado por el cliente
EMP0154,3/21/2025 04:57,CASE010657,chat,CL61992,pre-venta,comprador,colgado por el agente
EMP0282,3/17/2025 01:16,CASE006936,chat,CL46913,reclamos,comprador,terminado por el cliente
EMP0177,3/23/2025 23:28,CASE004773,chat,CL16025,reclamos,comprador,falla
EMP0006,1/25/2025 00:47,CASE009400,teléfono,CL91618,post-venta,comprador,colgado por el agente
EMP0235,1/20/2025 21:34,CASE008381,teléfono,CL24131,pre-venta,vendedor,falla
EMP0023,3/23/2025 05:38,CASE033202,teléfono,CL71784,pre-venta,vendedor,colgado por el agente
EMP0052,1/21/2025 17:43,CASE048543,teléfono,CL67442,reclamos,vendedor,falla
EMP0046,2/23/2025 12:18,CASE039779,chat,CL96787,post-venta,comprador,terminado por el cliente
EMP0077,3/20/2025 04:08,CASE013446,teléfono,CL67920,reclamos,vendedor,terminado por el cliente
EMP0087,2/8/2025 21:24,CASE024687,chat,CL35546,post-venta,comprador,colgado por el agente
EMP0118,2/22/2025 04:28,CASE046168,teléfono,CL59414,post-venta,comprador,colgado por el agente
EMP0179,3/20/2025 21:35,CASE002082,chat,CL26545,pre-venta,vendedor,terminado por el cliente
EMP0270,2/27/2025 10:12,CASE040068,teléfono,CL79165,post-venta,vendedor,falla
EMP0217,2/2/2025 21:11,CASE020341,teléfono,CL89489,post-venta,comprador,colgado por el agente
EMP0198,3/24/2025 15:49,CASE026482,chat,CL71646,post-venta,comprador,falla
EMP0219,2/11/2025 04:02,CASE027620,teléfono,CL66419,pre-venta,vendedor,falla
EMP0145,1/15/2025 04:06,CASE047536,teléfono,CL22811,pre-venta,comprador,colgado por el agente
EMP0148,3/10/2025 23:47,CASE005100,teléfono,CL55351,reclamos,vendedor,falla
EMP0243,2/2/2025 23:36,CASE017071,teléfono,CL77924,reclamos,vendedor,colgado por el agente
EMP0011,1/6/2025 20:29,CASE029229,chat,CL70302,pre-venta,comprador,terminado por el cliente
EMP0127,2/15/2025 14:32,CASE025307,chat,CL88654,post-venta,vendedor,terminado por el cliente
EMP0234,2/17/2025 13:11,CASE028095,chat,CL96309,post-venta,comprador,colgado por el agente
EMP0286,2/19/2025 22:32,CASE027843,teléfono,CL41164,pre-venta,comprador,terminado por el cliente
EMP0178,1/27/2025 08:36,CASE021958,chat,CL72259,reclamos,comprador,terminado por el cliente
EMP0150,2/10/2025 09:07,CASE006315,chat,CL82085,post-venta,vendedor,falla
EMP0103,2/19/2025 08:03,CASE047050,teléfono,CL71502,reclamos,comprador,colgado por el agente
EMP0015,2/17/2025 03:12,CASE017705,chat,CL71571,post-venta,comprador,terminado por el cliente
EMP0180,1/31/2025 11:45,CASE041487,chat,CL99655,reclamos,vendedor,falla
EMP0299,1/14/2025 15:06,CASE002044,teléfono,CL33652,post-venta,vendedor,colgado por el agente
EMP0158,2/26/2025 04:52,CASE032850,chat,CL44298,reclamos,vendedor,falla
EMP0286,3/30/2025 06:20,CASE001094,teléfono,CL27892,pre-venta,comprador,colgado por el agente
EMP0193,2/19/2025 12:43,CASE021366,chat,CL60209,post-venta,vendedor,terminado por el cliente
EMP0243,3/4/2025 09:56,CASE017510,chat,CL10827,reclamos,vendedor,colgado por el agente
EMP0107,2/1/2025 23:31,CASE008390,teléfono,CL15672,reclamos,comprador,falla
EMP0289,3/2/2025 17:01,CASE032432,chat,CL93956,post-venta,vendedor,falla
EMP0158,2/21/2025 15:35,CASE016719,chat,CL16973,pre-venta,vendedor,falla
EMP0246,2/21/2025 00:41,CASE027596,teléfono,CL89118,reclamos,vendedor,terminado por el cliente
EMP0149,3/27/2025 15:46,CASE047335,chat,CL50783,post-venta,vendedor,colgado por el agente
EMP0030,2/16/2025 01:06,CASE005134,chat,CL10960,pre-venta,comprador,falla
EMP0088,3/27/2025 20:02,CASE023537,chat,CL21498,post-venta,vendedor,falla
EMP0090,1/24/2025 13:57,CASE038210,teléfono,CL39790,pre-venta,vendedor,terminado por el cliente
EMP0195,3/18/2025 08:18,CASE030362,teléfono,CL80456,reclamos,vendedor,colgado por el agente
EMP0058,3/27/2025 23:55,CASE046496,teléfono,CL97129,reclamos,comprador,terminado por el cliente
EMP0246,1/9/2025 15:40,CASE031079,teléfono,CL21946,reclamos,comprador,colgado por el agente
EMP0242,1/17/2025 20:21,CASE007582,chat,CL95572,reclamos,comprador,colgado por el agente
EMP0130,1/20/2025 09:04,CASE033397,chat,CL99802,reclamos,comprador,colgado por el agente
EMP0272,3/5/2025 10:19,CASE017984,teléfono,CL20180,post-venta,vendedor,terminado por el cliente
EMP0180,2/17/2025 19:02,CASE019708,chat,CL94929,pre-venta,comprador,falla
EMP0231,2/20/2025 09:13,CASE038946,chat,CL32402,post-venta,comprador,colgado por el agente
EMP0239,1/15/2025 10:45,CASE037939,teléfono,CL14241,post-venta,vendedor,colgado por el agente
EMP0140,1/21/2025 07:44,CASE028448,teléfono,CL17117,reclamos,vendedor,colgado por el agente
EMP0224,1/17/2025 10:07,CASE033473,chat,CL89365,pre-venta,vendedor,terminado por el cliente
EMP0278,2/6/2025 08:13,CASE045671,chat,CL34624,post-venta,vendedor,falla
EMP0012,3/4/2025 15:05,CASE015476,teléfono,CL61402,reclamos,comprador,colgado por el agente
EMP0300,1/19/2025 16:08,CASE042363,chat,CL38510,post-venta,vendedor,falla
EMP0246,2/17/2025 03:56,CASE040360,teléfono,CL98237,post-venta,comprador,falla
EMP0264,2/23/2025 14:43,CASE004531,chat,CL71894,reclamos,vendedor,falla
EMP0246,3/27/2025 19:21,CASE037946,chat,CL26894,reclamos,vendedor,terminado por el cliente
EMP0157,1/9/2025 16:54,CASE028050,teléfono,CL78907,reclamos,comprador,colgado por el agente
EMP0249,3/7/2025 17:55,CASE035922,chat,CL87410,pre-venta,comprador,falla
EMP0139,2/13/2025 12:22,CASE011847,teléfono,CL49883,reclamos,comprador,falla
EMP0292,1/17/2025 23:11,CASE038480,chat,CL47130,post-venta,comprador,colgado por el agente
EMP0041,1/29/2025 06:17,CASE015647,teléfono,CL30242,post-venta,vendedor,falla
EMP0165,3/7/2025 00:40,CASE046069,chat,CL81450,reclamos,comprador,terminado por el cliente
EMP0215,3/3/2025 12:00,CASE036253,teléfono,CL20299,post-venta,comprador,terminado por el cliente
EMP0113,1/24/2025 22:15,CASE006187,teléfono,CL48628,post-venta,comprador,terminado por el cliente
EMP0260,1/15/2025 01:14,CASE012748,teléfono,CL93397,post-venta,comprador,terminado por el cliente
EMP0122,2/13/2025 18:44,CASE043786,chat,CL25223,post-venta,vendedor,colgado por el agente
EMP0146,2/4/2025 21:39,CASE002781,chat,CL94320,reclamos,comprador,falla
EMP0247,2/9/2025 21:32,CASE015622,chat,CL69031,reclamos,vendedor,falla
EMP0105,2/10/2025 01:30,CASE039911,chat,CL64171,pre-venta,vendedor,terminado por el cliente
EMP0149,3/27/2025 08:18,CASE025325,chat,CL10822,pre-venta,vendedor,colgado por el agente
EMP0063,2/28/2025 19:29,CASE008640,chat,CL18585,post-venta,comprador,colgado por el agente
EMP0118,3/28/2025 14:33,CASE028907,chat,CL19303,pre-venta,vendedor,colgado por el agente
EMP0257,1/21/2025 17:29,CASE013296,chat,CL77873,post-venta,comprador,colgado por el agente
EMP0063,2/22/2025 01:43,CASE022027,chat,CL64339,pre-venta,vendedor,terminado por el cliente
EMP0263,2/25/2025 18:02,CASE007857,chat,CL92840,pre-venta,vendedor,colgado por el agente
EMP0116,3/15/2025 17:03,CASE031304,chat,CL24579,post-venta,vendedor,terminado por el cliente
EMP0124,2/10/2025 19:34,CASE043640,teléfono,CL68759,reclamos,vendedor,falla
EMP0108,1/24/2025 18:47,CASE001729,teléfono,CL21835,reclamos,comprador,terminado por el cliente
EMP0279,2/15/2025 06:03,CASE031490,teléfono,CL64932,post-venta,vendedor,falla
EMP0152,3/17/2025 06:25,CASE025884,chat,CL86393,pre-venta,comprador,terminado por el cliente
EMP0193,2/6/2025 13:39,CASE027257,chat,CL90539,pre-venta,comprador,terminado por el cliente
EMP0113,2/1/2025 12:07,CASE015805,teléfono,CL79755,reclamos,comprador,colgado por el agente
EMP0289,1/16/2025 06:03,CASE028896,teléfono,CL64924,post-venta,comprador,terminado por el cliente
EMP0142,3/16/2025 16:36,CASE001394,teléfono,CL37152,reclamos,comprador,colgado por el agente
EMP0220,3/26/2025 06:30,CASE002647,teléfono,CL78202,post-venta,comprador,colgado por el agente
EMP0150,2/20/2025 16:09,CASE040279,teléfono,CL82168,reclamos,vendedor,colgado por el agente
EMP0009,3/25/2025 00:21,CASE044751,chat,CL76982,pre-venta,vendedor,colgado por el agente
EMP0014,2/3/2025 22:05,CASE036553,teléfono,CL38498,post-venta,comprador,falla
EMP0046,2/17/2025 15:33,CASE048346,teléfono,CL81230,reclamos,vendedor,terminado por el cliente
EMP0096,2/12/2025 13:34,CASE018678,teléfono,CL88606,reclamos,comprador,terminado por el cliente
EMP0180,1/30/2025 19:00,CASE016504,teléfono,CL73641,pre-venta,vendedor,colgado por el agente
EMP0250,1/25/2025 16:02,CASE045424,chat,CL65038,reclamos,vendedor,terminado por el cliente
EMP0234,2/13/2025 22:53,CASE025997,chat,CL98255,pre-venta,vendedor,falla
EMP0040,1/6/2025 18:05,CASE017403,teléfono,CL54239,reclamos,comprador,terminado por el cliente
EMP0290,1/1/2025 20:07,CASE013036,teléfono,CL94029,pre-venta,comprador,falla
EMP0148,3/4/2025 03:33,CASE023458,chat,CL59411,reclamos,vendedor,falla
EMP0214,3/2/2025 01:02,CASE030675,teléfono,CL96054,pre-venta,comprador,colgado por el agente
EMP0071,3/15/2025 18:56,CASE019967,chat,CL14604,reclamos,comprador,colgado por el agente
EMP0116,1/20/2025 16:59,CASE039770,chat,CL29926,post-venta,vendedor,terminado por el cliente
EMP0196,1/20/2025 02:33,CASE035301,chat,CL73099,post-venta,comprador,falla
EMP0070,3/8/2025 17:39,CASE026014,chat,CL94714,reclamos,comprador,colgado por el agente
EMP0027,1/23/2025 22:02,CASE034735,chat,CL88333,post-venta,comprador,colgado por el agente
EMP0016,2/20/2025 13:49,CASE049315,teléfono,CL14541,reclamos,comprador,colgado por el agente
EMP0152,1/6/2025 23:24,CASE033438,chat,CL16600,reclamos,vendedor,colgado por el agente
EMP0003,3/2/2025 13:42,CASE035959,chat,CL33205,reclamos,comprador,falla
EMP0061,2/11/2025 23:36,CASE047345,chat,CL24526,post-venta,vendedor,colgado por el agente
EMP0221,1/22/2025 14:14,CASE043367,chat,CL56412,reclamos,vendedor,colgado por el agente
EMP0107,3/11/2025 22:23,CASE043498,teléfono,CL30662,pre-venta,comprador,terminado por el cliente
EMP0189,3/2/2025 04:51,CASE002174,teléfono,CL68979,reclamos,comprador,terminado por el cliente
EMP0038,3/24/2025 04:45,CASE043267,chat,CL61374,reclamos,vendedor,terminado por el cliente
EMP0090,2/4/2025 10:51,CASE029381,teléfono,CL20479,post-venta,comprador,terminado por el cliente
EMP0208,1/2/2025 08:31,CASE002100,chat,CL28047,pre-venta,vendedor,terminado por el cliente
EMP0284,2/3/2025 11:39,CASE014245,chat,CL87274,pre-venta,vendedor,colgado por el agente
EMP0182,1/3/2025 22:53,CASE013537,chat,CL25966,post-venta,comprador,terminado por el cliente
EMP0293,2/5/2025 15:48,CASE047446,teléfono,CL79562,reclamos,comprador,terminado por el cliente
EMP0026,1/18/2025 15:05,CASE023489,chat,CL29588,reclamos,comprador,colgado por el agente
EMP0266,2/18/2025 20:01,CASE017287,teléfono,CL90000,pre-venta,vendedor,falla
EMP0187,1/17/2025 09:51,CASE027659,teléfono,CL23537,post-venta,comprador,colgado por el agente
EMP0030,3/28/2025 09:47,CASE034555,teléfono,CL43204,pre-venta,comprador,terminado por el cliente
EMP0076,3/4/2025 04:00,CASE043944,teléfono,CL48287,pre-venta,vendedor,terminado por el cliente
EMP0261,1/29/2025 13:17,CASE045731,chat,CL18591,pre-venta,vendedor,falla
EMP0257,1/4/2025 17:31,CASE024106,teléfono,CL91583,pre-venta,comprador,falla
EMP0200,1/23/2025 04:19,CASE019977,teléfono,CL30150,pre-venta,comprador,terminado por el cliente
EMP0032,2/21/2025 19:55,CASE030451,chat,CL69299,pre-venta,comprador,falla
EMP0062,1/3/2025 00:27,CASE022496,teléfono,CL43828,reclamos,comprador,colgado por el agente
EMP0021,1/18/2025 12:13,CASE035613,chat,CL20827,post-venta,vendedor,falla
EMP0093,2/14/2025 15:57,CASE036117,chat,CL62577,pre-venta,comprador,falla
EMP0111,1/31/2025 03:24,CASE002015,chat,CL72049,reclamos,comprador,colgado por el agente
EMP0226,1/21/2025 22:21,CASE048814,chat,CL61509,reclamos,vendedor,falla
EMP0243,1/19/2025 11:02,CASE047389,chat,CL28168,post-venta,comprador,colgado por el agente
EMP0006,3/26/2025 13:18,CASE041488,teléfono,CL38199,reclamos,comprador,terminado por el cliente
EMP0044,1/27/2025 01:35,CASE034677,chat,CL23317,reclamos,vendedor,colgado por el agente
EMP0018,2/11/2025 10:35,CASE042357,teléfono,CL17328,reclamos,comprador,colgado por el agente
EMP0262,2/4/2025 15:39,CASE032993,chat,CL10627,reclamos,comprador,falla
EMP0071,1/19/2025 08:07,CASE019672,teléfono,CL87429,reclamos,comprador,falla
EMP0255,1/15/2025 08:53,CASE040579,teléfono,CL84994,post-venta,comprador,colgado por el agente
EMP0079,2/20/2025 16:14,CASE019413,teléfono,CL65895,reclamos,vendedor,terminado por el cliente
EMP0035,1/30/2025 16:56,CASE046282,teléfono,CL60535,post-venta,vendedor,colgado por el agente
EMP0273,2/5/2025 04:30,CASE033114,teléfono,CL72341,reclamos,vendedor,falla
EMP0057,1/31/2025 07:18,CASE020945,teléfono,CL77931,post-venta,vendedor,colgado por el agente
EMP0275,3/20/2025 18:29,CASE048097,chat,CL17287,pre-venta,comprador,colgado por el agente
EMP0098,2/27/2025 23:14,CASE038419,chat,CL65558,pre-venta,comprador,falla
EMP0141,2/23/2025 14:01,CASE013424,chat,CL28242,reclamos,comprador,terminado por el cliente
EMP0097,3/27/2025 18:17,CASE002548,teléfono,CL74738,pre-venta,comprador,falla
EMP0282,2/6/2025 20:43,CASE001847,chat,CL98652,post-venta,comprador,terminado por el cliente
EMP0052,3/25/2025 10:09,CASE026984,chat,CL98757,post-venta,comprador,terminado por el cliente
EMP0130,1/9/2025 19:51,CASE040833,chat,CL51800,reclamos,comprador,falla
EMP0026,2/14/2025 19:42,CASE006144,teléfono,CL61879,pre-venta,vendedor,terminado por el cliente
EMP0299,1/18/2025 02:07,CASE032227,chat,CL80295,pre-venta,vendedor,falla
EMP0028,3/27/2025 22:24,CASE007033,teléfono,CL22878,post-venta,vendedor,falla
EMP0142,1/8/2025 08:37,CASE020218,teléfono,CL75332,pre-venta,vendedor,colgado por el agente
EMP0144,2/5/2025 06:03,CASE042315,teléfono,CL88281,pre-venta,vendedor,falla
EMP0099,3/25/2025 11:23,CASE007770,teléfono,CL49478,pre-venta,comprador,terminado por el cliente
EMP0218,1/11/2025 20:16,CASE037637,chat,CL18042,reclamos,comprador,terminado por el cliente
EMP0299,2/23/2025 06:00,CASE008066,chat,CL87772,pre-venta,vendedor,terminado por el cliente
EMP0215,1/6/2025 19:31,CASE047122,chat,CL78995,reclamos,comprador,terminado por el cliente
EMP0138,3/8/2025 21:19,CASE041937,chat,CL48449,post-venta,comprador,falla
EMP0196,1/29/2025 11:04,CASE043536,chat,CL96529,pre-venta,comprador,colgado por el agente
EMP0300,1/7/2025 17:01,CASE029316,chat,CL68839,reclamos,comprador,terminado por el cliente
EMP0153,1/5/2025 12:14,CASE046178,chat,CL42118,pre-venta,comprador,falla
EMP0122,1/22/2025 11:15,CASE029565,teléfono,CL51050,post-venta,vendedor,colgado por el agente
EMP0003,3/11/2025 22:29,CASE013454,chat,CL71151,reclamos,vendedor,terminado por el cliente
EMP0138,1/30/2025 20:57,CASE021431,chat,CL69772,reclamos,vendedor,colgado por el agente
EMP0169,1/23/2025 15:18,CASE014593,teléfono,CL85743,pre-venta,vendedor,colgado por el agente
EMP0165,3/7/2025 19:24,CASE019655,chat,CL63021,reclamos,comprador,terminado por el cliente
EMP0196,3/4/2025 11:10,CASE041453,chat,CL40199,reclamos,comprador,falla
EMP0092,2/9/2025 20:15,CASE049849,teléfono,CL48702,reclamos,vendedor,terminado por el cliente
EMP0048,3/4/2025 23:36,CASE026825,chat,CL92201,pre-venta,vendedor,colgado por el agente
EMP0154,1/14/2025 16:01,CASE015063,chat,CL87801,post-venta,comprador,terminado por el cliente
EMP0261,3/25/2025 08:48,CASE038538,chat,CL18135,post-venta,vendedor,terminado por el cliente
EMP0091,1/31/2025 16:55,CASE020651,teléfono,CL55178,reclamos,vendedor,colgado por el agente
EMP0253,2/25/2025 19:16,CASE047755,teléfono,CL29824,reclamos,comprador,colgado por el agente
EMP0126,3/12/2025 00:12,CASE000003,teléfono,CL13278,reclamos,comprador,colgado por el agente
EMP0012,3/27/2025 21:47,CASE049310,teléfono,CL70536,reclamos,comprador,terminado por el cliente
EMP0186,1/23/2025 01:36,CASE012587,teléfono,CL80189,post-venta,comprador,colgado por el agente
EMP0225,2/11/2025 19:48,CASE033401,chat,CL78546,reclamos,comprador,falla
EMP0147,1/20/2025 22:31,CASE035231,teléfono,CL60630,reclamos,comprador,falla
EMP0048,1/6/2025 02:04,CASE042936,teléfono,CL74221,post-venta,comprador,falla
EMP0164,3/21/2025 07:56,CASE026035,chat,CL37810,reclamos,vendedor,terminado por el cliente
EMP0300,2/13/2025 13:01,CASE033896,chat,CL40085,reclamos,vendedor,falla
EMP0048,1/21/2025 17:35,CASE029746,teléfono,CL60701,pre-venta,comprador,terminado por el cliente
EMP0194,2/5/2025 14:09,CASE015006,chat,CL66866,pre-venta,comprador,colgado por el agente
EMP0200,2/26/2025 01:42,CASE015428,teléfono,CL30434,post-venta,comprador,falla
EMP0154,1/17/2025 10:38,CASE036259,teléfono,CL54364,reclamos,comprador,falla
EMP0185,2/16/2025 09:14,CASE032268,chat,CL80703,pre-venta,vendedor,terminado por el cliente
EMP0010,2/22/2025 12:29,CASE014132,chat,CL92617,post-venta,comprador,falla
EMP0129,3/25/2025 18:47,CASE039920,chat,CL40262,post-venta,vendedor,falla
EMP0074,1/23/2025 17:17,CASE019521,chat,CL82299,reclamos,vendedor,colgado por el agente
EMP0051,1/15/2025 00:27,CASE038977,teléfono,CL19282,reclamos,vendedor,colgado por el agente
EMP0018,2/5/2025 06:35,CASE021904,teléfono,CL20447,pre-venta,comprador,colgado por el agente
EMP0267,1/28/2025 20:10,CASE004584,teléfono,CL79603,pre-venta,vendedor,terminado por el cliente
EMP0092,1/3/2025 18:26,CASE047207,teléfono,CL14986,post-venta,vendedor,falla
EMP0068,2/13/2025 15:47,CASE009083,chat,CL51358,reclamos,comprador,terminado por el cliente
EMP0134,3/3/2025 12:01,CASE020000,teléfono,CL32562,post-venta,vendedor,colgado por el agente
EMP0218,1/28/2025 07:54,CASE030903,teléfono,CL53060,reclamos,vendedor,colgado por el agente
EMP0065,1/19/2025 15:15,CASE001016,chat,CL71605,pre-venta,comprador,falla
EMP0287,3/18/2025 13:45,CASE018312,chat,CL15750,reclamos,vendedor,colgado por el agente
EMP0076,2/23/2025 21:50,CASE019177,teléfono,CL87774,pre-venta,comprador,terminado por el cliente
EMP0251,2/7/2025 19:16,CASE004047,chat,CL24538,post-venta,vendedor,colgado por el agente
EMP0103,2/5/2025 15:17,CASE017990,chat,CL16557,reclamos,comprador,terminado por el cliente
